blue,green,red,nir,swir1,swir2,blue_sd,green_sd,red_sd,nir_sd,swir1_sd,swir2_sd,NDWI,NDVI,NDTI,BR,GR,NBR,BG,MNDWI,pixelCount,clouds,pwater,qa,sat_5,sat_7,sat_8,type_Estuary,type_Facility,type_Lake,type_Stream,month_sin,month_cos,month_num
484.9999999999999,785.0000000000001,783.0,186.0,35.0,23.000000000000004,10.730229694880434,21.477937423628507,34.10738938502808,6.709133585974996,4.312108029561616,3.9715618664740577,0.6168898043254377,-0.6160990712074303,-0.0012755102040817052,0.61941251596424,1.0025542784163475,0.38350515463917534,0.6178343949044584,0.9146341463414634,139,39.86,99.0,324.0,False,False,True,False,False,False,True,0.49999999999999994,-0.8660254037844387,5
244.00000000000003,407.9999999999999,304.0,348.0,112.0,61.0,23.30554040195886,21.362416250799697,25.083810804837334,40.54841168422962,18.429597284823004,27.645268232232983,0.07936507936507922,0.06748466257668712,-0.14606741573033694,0.8026315789473685,1.3421052631578945,1.4262295081967211,0.5980392156862747,0.5692307692307691,79,42.0,93.0,68.0,False,True,False,False,False,True,False,1.2246467991473532e-16,-1.0,6
315.0,326.0,279.0,475.0,151.0,82.0,13.545640442592587,29.30203704522946,14.008368034856876,64.8633178306506,90.91754506144568,49.4973168464716,-0.18601747815230962,0.259946949602122,-0.07768595041322314,1.1290322580645162,1.168458781362007,1.507936507936508,0.9662576687116564,0.3668763102725367,8,9.0,90.0,66.0,False,True,False,False,False,False,True,0.49999999999999994,-0.8660254037844387,5
237.0,317.1859413737787,192.0,172.0,63.0,18.999999999999993,28.447675940925468,47.850051298792266,75.78571054560678,108.4975077302399,81.9591138528072,65.49833716363959,0.2967909113783067,-0.054945054945054944,-0.24585506236882393,1.234375,1.652010111321764,0.7257383966244726,0.7471957898686126,0.6685832212924373,84,0.0,92.0,68.0,False,True,False,False,False,False,True,-1.0,-1.8369701987210297e-16,9
564.0,799.0,516.0,1183.0,251.0,111.0,31.4191594452635,23.85139175999776,20.12254125767088,57.03594275044471,37.883186276620634,30.46957600178243,-0.19374369323915236,0.392583872866392,-0.21520912547528517,1.0930232558139534,1.5484496124031009,2.097517730496454,0.7058823529411765,0.5219047619047619,18,49.0,73.0,66.0,True,False,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004,8
292.9999999999999,524.0,373.00000000000006,195.99999999999997,46.0,23.999999999999993,23.782393086067906,19.687377553974372,22.40583736485591,20.367565609691713,18.2906340315969,28.136349693994006,0.45555555555555555,-0.31107205623901596,-0.16833890746934219,0.7855227882037529,1.4048257372654154,0.6689419795221845,0.5591603053435112,0.8385964912280702,123,5.0,97.0,68.0,False,True,False,False,False,True,False,0.8660254037844386,0.5000000000000001,2
587.0,739.0,733.0,967.0,770.0,454.0,29.591196138191417,36.30761704595305,38.21894163893083,97.07843335273888,86.23236534697011,43.62999414266378,-0.1336459554513482,0.1376470588235294,-0.004076086956521739,0.800818553888131,1.0081855388813097,1.647359454855196,0.7943166441136671,-0.02054340622929092,12,60.0,48.0,66.0,True,False,False,True,False,False,False,1.0,6.123233995736766e-17,3
413.0,497.0,300.0,157.0,86.0,29.0,37.58911994008119,66.05068824137845,92.529549094445,84.7983773010982,46.337116099325456,43.56906372197442,0.5198776758409785,-0.31291028446389496,-0.24717691342534504,1.3766666666666667,1.6566666666666667,0.3801452784503632,0.8309859154929577,0.7049742710120068,52,0.0,96.0,68.0,True,False,False,True,False,False,False,0.8660254037844386,0.5000000000000001,2
503.0,511.0,359.0,260.0,157.0,109.0,21.13278664071077,27.374875101963134,24.328638536943117,20.959698397546187,17.397659941169426,21.481152420134556,0.32555123216601817,-0.15993537964458804,-0.17471264367816092,1.4011142061281336,1.4233983286908078,0.5168986083499006,0.9843444227005871,0.5299401197604791,42,46.0,98.0,68.0,False,True,False,True,False,False,False,1.0,6.123233995736766e-17,3
749.0,949.0,795.0,824.0,453.0,244.0,111.20051128901116,113.21301393142708,120.85345917163478,263.8232995746159,202.9299231531356,121.7828136928093,0.07050197405527354,0.017912291537986413,-0.08830275229357798,0.9421383647798742,1.1937106918238993,1.1001335113484647,0.7892518440463646,0.3537803138373752,32,18.0,99.0,68.0,True,False,False,False,False,False,True,-0.8660254037844384,-0.5000000000000004,8
